,variable,experiment,units,frequency,ensemble,model,year,value,land_area
71,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1921,9.038687e-09,148661430000000.0
72,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1922,9.136276e-09,148661430000000.0
73,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1923,9.244885e-09,148661430000000.0
74,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1924,9.588474e-09,148661430000000.0
75,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1925,9.383181e-09,148661430000000.0
76,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1926,9.317472e-09,148661430000000.0
77,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1927,9.430583e-09,148661430000000.0
78,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1928,8.905585e-09,148661430000000.0
79,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1929,9.235274e-09,148661430000000.0
80,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1930,9.35226e-09,148661430000000.0
81,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1931,9.207897e-09,148661430000000.0
82,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1932,9.106604e-09,148661430000000.0
83,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1933,9.639474e-09,148661430000000.0
84,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1934,9.481299e-09,148661430000000.0
85,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1935,9.395282e-09,148661430000000.0
86,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1936,9.911633e-09,148661430000000.0
87,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1937,9.450799e-09,148661430000000.0
88,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1938,9.344013e-09,148661430000000.0
89,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1939,9.73157e-09,148661430000000.0
90,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1940,9.610015e-09,148661430000000.0
91,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1941,9.355842e-09,148661430000000.0
92,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1942,9.130339e-09,148661430000000.0
93,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1943,9.332039e-09,148661430000000.0
94,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1944,9.318231e-09,148661430000000.0
95,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1945,9.586555e-09,148661430000000.0
96,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1946,9.839e-09,148661430000000.0
97,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1947,9.503159e-09,148661430000000.0
98,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1948,9.427547e-09,148661430000000.0
99,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1949,9.714091e-09,148661430000000.0
100,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1950,9.755737e-09,148661430000000.0
101,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1951,9.63509e-09,148661430000000.0
102,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1952,9.457828e-09,148661430000000.0
103,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1953,9.274509e-09,148661430000000.0
104,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1954,9.815994e-09,148661430000000.0
105,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1955,9.451983e-09,148661430000000.0
106,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1956,9.569862e-09,148661430000000.0
107,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1957,9.515355e-09,148661430000000.0
108,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1958,8.955847e-09,148661430000000.0
109,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1959,9.252125e-09,148661430000000.0
110,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1960,9.622867e-09,148661430000000.0
111,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1961,9.437925e-09,148661430000000.0
112,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1962,9.255269e-09,148661430000000.0
113,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1963,9.921759e-09,148661430000000.0
114,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1964,9.881082e-09,148661430000000.0
115,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1965,1.0157193e-08,148661430000000.0
116,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1966,9.651368e-09,148661430000000.0
117,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1967,9.775815e-09,148661430000000.0
118,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1968,9.921571e-09,148661430000000.0
119,npp,historical,kg m-2 s-1,mon,r5i1p1f1,ACCESS-ESM1-5,1969,9.8266835e-09,148661430000000.0
